catg_id,cal_yr_num,qtr_of_yr_num,mnth_of_yr_num,mnth_of_qtr_num,site_promo_dsc_amt,holiday_ind,gms
244,2019,2,4,1,0.19605409834616122,0,26087876.619999997
244,2019,2,5,2,0.17982223187284213,0,26047054.52
244,2019,2,6,3,0.16959510737141764,1,21985527.450000003
244,2019,3,7,1,0.18577267044947285,0,22737554.04
244,2019,3,8,2,0.1783182231662349,0,20999999.400000002
244,2019,3,9,3,0.185487046992877,1,21280926.69
244,2019,4,10,1,0.19980626587946057,1,24534098.52
244,2019,4,11,2,0.21111261001470524,1,34737539.11
244,2019,4,12,3,0.2078916239277215,1,27514840.29
244,2020,1,1,1,0.17700230589229113,1,25204134.739999995
244,2020,1,2,2,0.18875029938191445,1,27402248.110000003
244,2020,1,3,3,0.18641101755800654,0,30482245.14
244,2020,2,4,1,0.1787215530037405,0,52724514.349999994
244,2020,2,5,2,0.11287982321391565,0,47708999.44
244,2020,2,6,3,0.12143611671409466,0,39686579.19
244,2020,3,7,1,0.04736251687573182,1,46391225.17000001
244,2020,3,8,2,0.0,0,28983693.74
245,2015,3,8,2,0.002656191634231485,0,558118.24
245,2015,3,9,3,0.003058640141474858,1,1202786.1500000001
245,2015,4,10,1,0.0017527505277833786,0,1381764.81
245,2015,4,11,2,0.008059269721708655,1,3339547.99
245,2015,4,12,3,0.0014315214270243836,0,3345086.5
245,2016,1,1,1,0.0014725573903333236,0,1424797.44
245,2016,1,2,2,0.0009100081912369277,1,1574096.82
245,2016,1,3,3,0.0020628619442690376,0,1504724.06
245,2016,2,4,1,0.0012520970900230088,0,1407277.45
245,2016,2,5,2,0.0029766656572679465,1,1514598.05
245,2016,2,6,3,0.0008126770737319392,0,1358081.87
245,2016,3,7,1,0.003403098879813573,1,1363576.5999999999
245,2016,3,8,2,0.0022941045582440278,0,1432700.6100000003
245,2016,3,9,3,0.0043200687425428,1,1398446.96
245,2016,4,10,1,0.0020815385961483832,1,1452858.96
245,2016,4,11,2,0.0036146928887940896,1,3288301.21
245,2016,4,12,3,0.001390319657928343,1,2685327.42
245,2017,1,1,1,0.0006400865334481403,1,1205979.91
245,2017,1,2,2,0.000879069700920292,0,980972.27
245,2017,1,3,3,0.001974959332803562,0,1206685.1
245,2017,2,4,1,0.005301829127183598,0,1104706.6700000002
245,2017,2,5,2,0.007351966793916337,1,1133674.19
245,2017,2,6,3,0.005195357112216069,1,997843.63
245,2017,3,7,1,0.0036329350473787375,1,1095634.9200000002
245,2017,3,8,2,0.002579134343476748,0,1128850.27
245,2017,3,9,3,0.005363320224297323,0,1080895.65
245,2017,4,10,1,0.007656661599735672,1,1155867.33
245,2017,4,11,2,0.008205545326237608,1,2655743.48
245,2017,4,12,3,0.0015108400300480479,0,2317355.2
245,2018,1,1,1,0.0016033358718824991,1,1260772.64
245,2018,1,2,2,0.005642065074933477,1,1054804.92
245,2018,1,3,3,0.010525050335358551,0,1111604.2799999998
245,2018,2,4,1,0.008711196674196738,0,1220630.23
245,2018,2,5,2,0.004440637198623434,1,1285221.86
245,2018,2,6,3,0.0015248005106761888,1,1165043.55
245,2018,3,7,1,0.0028531035488337177,1,1215289.4000000001
245,2018,3,8,2,0.002306740636823443,0,1117726.44
245,2018,3,9,3,0.00489025986628803,0,1089015.44
245,2018,4,10,1,0.0017765320288943458,1,1076721.37
245,2018,4,11,2,0.003525518702922662,1,1990583.54
245,2018,4,12,3,0.0054059703301148135,1,1986846.92
